identifier,articles,files,templates,categories
fywiki,85446,7614,4600,46670
fywiktionary,14128,13,1652,1912
fywikibooks,95,7,44,2
viwiki,1552946,28742,208917,314281
viwiktionary,249371,7,4110,2993
viwikibooks,41258,1003,1554,1915
viwikiquote,681,2,692,963
viwikisource,15074,2,2075,1816
viwikivoyage,2407,0,877,515
kabwiki,8498,0,2132,1555
mhwiki,12,0,11,6
mhwiktionary,2,0,9,1
sowiki,14207,22,4734,1140
sowiktionary,3888,0,404,192
amwiki,22410,1784,1211,1095
amwiktionary,1156,0,161,64
amwikiquote,6,0,12,6
euwiki,527389,281,20062,93109
euwiktionary,55133,3,1808,5153
euwikibooks,3613,79,145,183
euwikiquote,558,0,94,78
euwikisource,1178,0,212,423
pcdwiki,7398,49,1534,668
ptwiki,1851492,58710,95062,368720
ptwiktionary,272395,0,8332,36599
ptwikibooks,15386,1039,1550,2135
ptwikinews,29706,36,1696,11946
ptwikiquote,13511,23,1394,2748
ptwikisource,38308,14,1554,5310
ptwikiversity,8162,115,783,843
ptwikivoyage,4540,1,356,1043
stwiki,1141,1,228,121
stwiktionary,1576,2,17,7
tkwiki,8801,342,2074,1812
tkwiktionary,4703,0,341,203
tkwikibooks,5,0,20,1
tkwikiquote,2,0,12,1
xmfwiki,23450,4,4942,5757
bxrwiki,4205,12,2782,1560
trvwiki,1993,0,12,6
ffwiki,1241,0,236,276
jawiki,2195156,20950,97731,306818
jawiktionary,322531,37,8839,19645
jawikibooks,17473,424,944,1014
jawikinews,4211,2,879,7546
jawikiquote,1465,9,253,532
jawikisource,15676,19,1431,4372
jawikiversity,305,0,793,380
jawikivoyage,1103,0,794,472
ladwiki,5491,26,1197,2147
mhrwiki,15584,0,6307,4404
quwiki,43217,2,1443,8022
quwiktionary,584,2,433,29
quwikibooks,7,1,14,1
quwikiquote,3,0,8,0
tawiki,195326,7675,17899,28358
tawiktionary,407569,264,1992,1994
tawikibooks,1505,255,316,164
tawikinews,4165,0,455,6226
tawikiquote,1412,8,150,1063
tawikisource,16226,42,1068,802
hakwiki,13914,1,1902,1316
furwiki,4930,321,545,781
kjwiki,6,0,9,1
ndswiki,102640,0,1888,5079
ndswiktionary,10171,16,5152,20949
ndswikibooks,5,0,14,0
ndswikiquote,2,0,8,0
nsowiki,8944,0,994,152
rowiki,983527,195739,68467,152830
rowiktionary,175270,12,1373,14466
rowikibooks,1183,167,387,381
rowikinews,2701,0,543,1131
rowikiquote,686,16,322,296
rowikisource,16479,261,371,1161
rowikivoyage,1077,0,476,441
zeawiki,7519,1,300,1015
azwiki,255536,20532,23188,97880
azwiktionary,56966,1,2065,4878
azwikibooks,3631,1,501,1690
azwikiquote,4680,0,399,2622
azwikisource,10230,1,1172,4030
iiwiki,16,0,13,0
lawiki,197688,1,5464,43553
lawiktionary,37986,92,2220,2922
lawikibooks,671,0,54,70
lawikiquote,1197,1,135,182
lawikisource,15650,49,450,1904
liwiki,54827,625,787,2580
liwiktionary,116910,13,1900,1974
liwikibooks,427,1,18,34
liwikinews,2586,0,278,495
liwikiquote,1630,0,56,141
liwikisource,2347,2,34,337
scwiki,9511,156,1232,1551
scwiktionary,3,0,11,16
trwiki,828807,40857,115669,310853
trwiktionary,362407,2,1750,35576
trwikibooks,1752,78,710,524
trwikinews,1389,10,657,3120
trwikiquote,7479,3,1032,2431
trwikisource,11215,122,1244,1392
trwikivoyage,465,0,514,313
ukwiki,2150985,111021,159871,295747
ukwiktionary,58939,15,4023,7526
ukwikibooks,1422,55,505,510
ukwikinews,2251,0,1379,2438
ukwikiquote,24732,0,1228,5624
ukwikisource,114674,137,1385,5462
ukwikivoyage,1145,5,351,126
iawiki,31853,6,1453,3296
iawiktionary,4563,5,469,899
iawikibooks,259,0,50,13
pamwiki,11832,408,5519,1814
pswiki,24523,1829,5318,1898
pswiktionary,27641,2,306,39
pswikibooks,4,0,26,2
pswikivoyage,474,0,137,16
lbwiki,76059,3909,7903,28540
lbwiktionary,9894,108,1381,4574
lbwikibooks,3,0,10,1
lbwikiquote,16,0,18,51
hywwiki,13003,0,2646,4202
koiwiki,5253,0,4332,1023
niawiki,2067,0,864,217
niawiktionary,6343,0,129,49
rwwiki,5689,2,1690,1093
rwwiktionary,423,0,272,45
hrwiki,264272,21225,12859,33220
hrwiktionary,33206,5,2334,3485
hrwikibooks,1299,182,242,139
hrwikiquote,2405,4,103,118
hrwikisource,10153,434,226,489
bpywiki,25872,48,1627,7834
chwiki,654,0,415,199
chwiktionary,3,0,8,0
chwikibooks,2,0,9,1
kawiki,212035,15091,28974,62389
kawiktionary,11851,8,1776,873
kawikibooks,681,1330,266,162
kawikiquote,930,25,259,591
rmywiki,952,1,160,252
snwiki,16263,0,178,566
snwiktionary,2,0,89,1
tewiki,111896,14862,20965,15316
tewiktionary,114878,1267,1279,719
tewikibooks,282,5,132,11
tewikiquote,745,2,158,552
tewikisource,17022,483,1390,773
azbwiki,271492,254,10315,128106
enwiki,16943094,931679,750617,2219153
enwiktionary,7302892,22,47626,707450
enwikibooks,104771,2746,11689,9253
enwikinews,42969,6074,4460,11652
